;Nationalbanken;BEC
;Jyske Bank ;Bankdata
;Sydbank ;Bankdata
;Nykredit Bank ;BEC
;Spar Nord Bank ;BEC
; Arbejdernes Landsbank;BEC
;Ringkjøbing Landbobank ;Bankdata
;Saxo Bank ;
;Vestjysk Bank ;BEC
;Sparekassen Kronjylland;SDC
;Sparekassen Sjælland-Fyn ;Bankdata
;Nordjyske Bank ;Bankdata
;Lån & Spar Bank ;SDC
;Sparekassen Vendsyssel;SDC
;Jutlander Bank ;SDC
;Den Jyske Sparekasse;BEC
;Middelfart Sparekasse;SDC
;Danske Andelskassers Bank ;BEC
;Alm. Brand Bank ;Bankdata
;Sparekassen Thy;SDC
;Djurslands Bank ;Bankdata
;Lægernes Bank ;BEC
;Frøs Sparekasse;SDC
;Fynske Bank ;BEC
;Skjern Bank ;Bankdata
;Grønlandsbanken Aktieselskab;BEC
;Saxo Privatbank ;SDC
;Merkur Andelskasse;BEC
;Salling Bank ;BEC
;Lollands Bank Aktieselskab;BEC
;Østjydsk Bank ;Bankdata
;Kreditbanken ;Bankdata
;Totalbanken ;BEC
;Nordfyns Bank;Bankdata
;Møns Bank ;BEC
;Basisbank ;SDC
;Dronninglund Sparekasse;SDC
;Sparekassen for Nr. Nebel og Omegn;SDC
;Broager Sparekasse;SDC
;Ekspres Bank ;
;PenSam Bank ;BEC
;Sparekassen Djursland;SDC
;Sparekassen Bredebro;SDC
;Dragsholm Sparekasse;SDC
;Coop Bank ;BEC
;Frørup Andelskasse;BEC
;Hvidbjerg Bank. Aktieselskab;BEC
;Rise Flemløse Sparekasse;SDC
;Langå Sparekasse;SDC
;Sparekassen Balling;SDC
;Rønde Sparekasse;SDC
;Folkesparekassen;SDC
;Frøslev-Mollerup Sparekasse;BEC
;Andelskassen Fælleskassen;BEC
;Fanø Sparekasse;SDC
;Sønderhå-Hørsted Sparekasse;SDC
;Klim Sparekasse;SDC
;Københavns Andelskasse;BEC
;Borbjerg Sparekasse;SDC
;Landbrugets Finansieringsbank ;
;Faster Andelskasse;BEC
;PFA Bank ;BEC
;Søby-Skader-Halling Sparekasse;
;Sparekassen Den lille Bikube;SDC
;Leasing Fyn Bank ;
;Maj Bank ;BEC
;Stadil Sparekasse;SDC
;Andelskassen OIKOS;SDC
;Østervrå Andelskasse;SDC
;BankNordik;SDC
;Betri Banki;SDC
;Nordoya Sparikassi;SDC
;Suduroyar Sparikassi ;SDC
